province,topic,merged
Aceh,Pernikahan,"Dalam acar pernikahan Raja, hidangan yang disajikan bermacam-macam. Hidangan yang disajikan berupa rendang, masak merah, kuah Beulango."
Aceh,Pernikahan,Miranda pulang ke kampung untuk menghadiri pernikahan adik iparnya. Miranda memberi hadiah 1 mayam emas.
Aceh,Pernikahan,Mama Nadia ingin mengadiri pesta pernikahan. Mama Nadia memberikan hadiah berupa sprei.
Aceh,Hubungan Keluarga,Fatimah baru saja menikah. Fatimah dan suami tinggal dirumah orang tua fatimah.
Aceh,Hubungan Keluarga,Sekarang Rasya hanya memiliki satu orang nenek. Rasya tinggal bersama orang tua dan nenek.
Aceh,Hubungan Keluarga,Mama membeli cincin untuk hadiah pernikahan. Mama memberikannya kepada keponakannya.
Aceh,Hubungan Keluarga,Sepupu Ayah baru saja terkena musibah. Ayah membantu sepupunya.
Aceh,Hubungan Keluarga,Ali membuat acara keunduri. Ali mendapat bantuan tenaga dari tetangganya.
Aceh,Hubungan Keluarga,Rumah tetangga Syifa kebakaran. Syifa ikut menolong untuk memadamkan api bersama warga kampung.
Aceh,Hubungan Keluarga,Alex berasal dari Brazil dan ingin snorkling ke Sabang. Alex diterima dengan ramah di sabang.
Aceh,Hubungan Keluarga,Nur pendatang di kampung Lam Ara. Nur diterima dengan baik oleh asoe lhok di kampung Lam Ara.
Aceh,Hubungan Keluarga,Cia ingin beribadah ke gereja. Cia dibebaskan untuk beribadah selama tidak melangar qanun yang ada.
Aceh,Hubungan Keluarga,Ayah Raja orang Aceh Sedangkan Ibu Raja orang Betawi. Raja merupakan keturunan Aceh.
Aceh,"Kehamilan, Bayi, Anak",Ratu sedang hamil dan mengadakan acara mee boh kayee. Ratu mengadakan acara pada bulan 3 kehamilan.
Aceh,"Kehamilan, Bayi, Anak",Sania ingin membuat acara ba bu tujoeh buleun. Sania meminta keluarga suami untuk membawa makanan ke rumah keluarga sani dan makan bersama.
Aceh,"Kehamilan, Bayi, Anak",Kkeluarga suami Nisa membuat acara keumaweh. Keluarga suami Nisa membawa nasi dan lauk pauk.
Aceh,"Kehamilan, Bayi, Anak",Ibu Dewi baru melahirkan. Ibu Dewi harus di rumah samapai 44 hari.
Aceh,"Kehamilan, Bayi, Anak",Anak ibu Dewi baru 44 hari. Anak ibu Dewi dipeucicap makanan.
Aceh,"Kehamilan, Bayi, Anak",Anak Anisa baru saja lahir. Anak Anisa langsung diberikan pisang wak.
Aceh,"Kehamilan, Bayi, Anak",Anak Lisa diajarkan cara berjalan. Anak Lisa dipeutateh.
Aceh,"Kehamilan, Bayi, Anak",Raja ingin membawa anaknya belajar mengaji. Raja membawa anaknya ke bale pengajian atau mesjid.
Aceh,"Kehamilan, Bayi, Anak",Anak Andi yang duduk di bangku SMP meminta izin untuk keluar rumah. Andi memberikan izin sebelum magrib harus sudah di rumah.
Aceh,"Kehamilan, Bayi, Anak",Asila diterima berkerja di Jakarta. Asila meminta izin kepada orang tua.
Aceh,Kematian,Pak Ihsan merupakan imum meunasah. Pak Ihsan mememberikan pengumuman berita duka di meunasah atau mesjid.
Aceh,Kematian,Sebelum mayat dimandikan mayat akan dibaringkan. Mayat akan dibaringkan di atas kasur dan diselimuti kain panjang.
Aceh,Kematian,"Kakek Zainab sudah meninggal selama 44 hari. Di rumah Zainab dilakukan kanuri arwah, samadiah dan tahlil."
Aceh,Kematian,Dewi ingin pergi melayat orang meninggal. Dewi memakai pakaian yang tidak mencolok warnanya.
Aceh,Kematian,"Dodi memilih pakaian untuk melayat ke rumah temannya yang baru saja meninggal. Dodi memakai baju koko , peci dan sarung."
Aceh,Kematian,"Mutasir seharusnya mendapatkan sepetak tanah, namun kakak Mutasir tidak meberikan hak tersebut. Muthasir memilih mediasi oleh keuchik dan tuha peut gampong."
Aceh,Hari Besar Agama,Raja membawa pulang daging sehari sebelum puasa. Raja membawa daging meugang.
Aceh,Hari Besar Agama,Nenek ingin memakan bubur khas Aceh untuk buka puasa. Nenek membeli bubur ie bu peudah.
Aceh,Hari Besar Agama,Risa membeli daging di pasar. Risa membeli daging di pasar karena besok lebaran.
Aceh,Hari Besar Agama,Zaki memasak bubur bersama orang kampung di mesjid. Zaki akan memasak bubur asyura untuk perayaan muharam.
Aceh,Hari Besar Agama,Nailis akan memakai pakaian haji. Nailis akan mengikuti pawai 1 Muharram.
Aceh,Hari Besar Agama,Keluarga Cut baru saja pulang shalat ied. Keluarag Cut langsung pergi ziarah kubur.
Aceh,Hari Besar Agama,Rafif akan menghias mobil dengan tema hari Raya. Rafif ingin mengikuti pawai takbiran.
Aceh,Hari Besar Agama,Mhayar diundang kerumah saudara saat lebaran. Mahyar dihidangkan lontong dan rendang.
Aceh,Hari Besar Agama,Zia bersiap pergi ke mesjid saat hari maulid. Zia pergi ke mesjid untuk makan bue keunduri maulid.
Aceh,Hari Besar Agama,Mama menghidangkan makanan maulid di rantang untuk diantar ke mesjid. Mama menghidangkan 5 atau 10 lauk ke mesjid.
Aceh,Pertanian,Yanti pergi ke blang. Yanti menanam padi.
Aceh,Pertanian,Beni seorang petani yang berasal dari Aceh Selatan. Beni seorang petani kopi.
Aceh,Pertanian,Ayah Beni ingin mengolah tanah blang untuk ditanami padi. Ayah Beni membawa kerbau ke sawah yang berair.
Aceh,Pertanian,Lila ingin tabu beni padi. Lila menabur benih Padi di lahan berair.
Aceh,Pertanian,Safrizal mengadakan acara kanuri blang. Safrizal menghidangkan bu kullah pada acara kanuri blang.
Aceh,Ikan dan Ternak,"Sari sekeluarga bergama Islam, dan ayahnya memelihara binatang ternak. Ayah Sari memelihara Sapi."
Aceh,Ikan dan Ternak,Sapi Beni yang ada di kandang kehabisan makanan. Beni memberi rumput gajah untuk makanan sapi.
Aceh,Ikan dan Ternak,Dedi seorang nelayan yang menangkap ikan dengan cara tradisional. Dedi menangkap ikan dengan cara tarek pukat.
Aceh,Ikan dan Ternak,Raja ingin beternak udang Vaname. Raja membuat kolam di lahan dekat pesisir pantai.
Aceh,Ikan dan Ternak,Dua hari lagi lebaran dewi ingin menjual daging. Dewi menjual ke pasar atau di depan lorong rumah.
Aceh,Seni,"Arbab adalah alak musik tradisional . Arbab terbuat dari labu pahit tua, tempurung, kulit kambing, bambu, dan benang hori."
Aceh,Seni,Tarian ranup lapuan dimainkan bersamaan dengan iringan musik. Tarian ranup lapuan diiringi dengan serune kalee dan geundrang.
Aceh,Seni,Rania ingin mengikuti lomba bernyanyi lagu khas Aceh. Rania menyanyi lagu Bungong Jeumpa.
Aceh,Seni,Asad ingin menyanyikan lagu untuk penyambutan tamu. Asad menyanyikan lagu saleum.
Aceh,Seni,Mutia menidurkan anaknya dengan menyanyikan lagu tradisional. Mutia menyanyikan lagu dodaidi.
Aceh,Seni,Tarian ranup lampuan dimainkan secara berkelompok. Tarian Ranup Lapuan dimainkan oleh tujuh orang wanita.
Aceh,Seni,Tarian ini menceritakan tentang kegiatan nelayan. Tarian ini adalah tarian Tarek Pukat.
Aceh,Seni,Desi dan teman-teman menampilkan tarian tradisional. Desi dan teman-teman menampilkan Tari Saman.
Aceh,Seni,Raisa membuat acara penyabutan tamu di acara pestanya. Raisa menyuguhkan Traian Ranup Lampuan.
Aceh,Seni,Risan baru saja mengelar acara sunatan. Raisan menghibur tamu dengan Tari Rapai Geleng.
Aceh,Seni,Fajar dan teman sedang berlatih untuk acara pertunjukan Gayo Festifal. Fajar dan teman-temanyanya menampilkan tarian Guel.
Aceh,Seni,Kakak Dinah mengadakan acara intat lintô. Kakak Dinah membuat acara Meutalèh Pantôn.
Aceh,Seni,Nenek Dian mendengarkan kisah tentang kehidupan. Nenek Dian mendengarkan syair.
Aceh,Permainan,Budi bermain galah di lapangan bersama teman-teman. Budi bermain bersama empat atau lima orang dalam dua regu.
Aceh,Permainan,Rina dan teman-teman ingin bermain dengan alat kapur tulis dan pecahan keramik. Rina dan teman-teman ingin bermain engklek.
Aceh,Permainan,Lisa mengajak temannya bermain permainan dengan cara tutup mata. Lisa mengajak temanya bermain ureung buta.
Aceh,Permainan,Lena ingin bermain di depan halaman rumah bersama teman-temannya. Lena bermain kelereng bersama teman-temannya.
Aceh,Permainan,Budi dan Roni ingin bermain Catoe Rimueng. Budi dan Roni bermain di bale-bale pengajian.
Aceh,Sehari-hari,Beni dan teman ingin bermain game online. Beni dan teman ingin pergi ke warung kopi.
Aceh,Sehari-hari,Nenek ingin pergi ke pasar di hari minggu. Nenek pergi ke pasar naik becak.
Aceh,Sehari-hari,Ali menunduk ketika masuk ke rumah aceh. Ali Menunduk karena pintunya rendah.
Aceh,Sehari-hari,Raisa tinggal di daerah yang rawan gempa. Raisa membangun rumah dengan struktur tahan gempa.
Aceh,Sehari-hari,Sultan pergi keluar malam untuk mengaji. Sulthan pergi ke bale-bale atau musala.
Aceh,Socio-religious,Raja ingin shalat jumat. Raja pergi ke mesjid.
Aceh,Socio-religious,Cut membawa Al-Quran ke sekolah di hari Jumat. Cut membaca surah Yasin di sekolah setiap Jumat.
Aceh,Socio-religious,Musfira melewati jembatan Seunapet. Musfira memberi klakson 3 kali saat melewati jembatan seunapet.
Aceh,Socio-religious,Raisa sedang hamil dan ingin keluar malam. Raisa membawa sebiji bawang putih dan peniti.
Aceh,Socio-religious,"Desi mempesijuk anaknya di acara khitan. Desi menyediakan beras, padi, on sinijuek, dan air di acara khitanan anaknya."
Aceh,Socio-religious,Hasna menabung gaji pertamanya. Hasna membelikan emas untuk menabung.
Aceh,Socio-religious,Desi baru saja melahirkan. Desi melakukan sale dirumah.
Aceh,Socio-religious,Rahma sedang naik kolestrol. Rahma minum air rebusan daun jambu kelutuk.
Aceh,Makanan,Agus pergi ke kedai untuk membeli sarapan khas Aceh. Agus membeli nasi gurih untuk sarapan.
Aceh,Makanan,Wanti pergi ke warung untuk makan siang khas Aceh. Wanti memesan kuah asam keung.
Aceh,Makanan,Buk Sari menyiapkan makanan makan siang khas Aceh. Buk Sari memasak keumamah.
Aceh,Makanan,Buk Dewi memasak untuk makan malam khas Aceh. Buk Dewi memanaskan kuah leumak tadi siang.
Aceh,Makanan,Buk Sari memasak untuk makan malam khas Aceh. Buk Sari memanaskan keumamah tadi siang.
Aceh,Makanan,"Dini bertamu ke rumah neneknya. Dini disuguhkan makanan khas Aceh, kue bhoi."
Aceh,Makanan,Aldi baru pulang dari kampungnya di gayo. Aldi membawa oleh-oleh kopi.
Aceh,Makanan,Sinta baru pulang berlibur dari pidie. Sinta membawa oleh-oleh kue adee.
Aceh,Makanan,Buk Wiwi baru pulang berlibur dari nagan raya. Buk Wiwi membawa pulang oleh-oleh kue karah.
Aceh,Makanan,Pak Anton pulang ke kampung halaman nya di Meulaboh. Pak Anton tak lupa menikmati kopi khop khas Meulaboh.
Aceh,Makanan,Azizi pergi ke acara maulid. Azizi makan menggunakan tangan.
Aceh,Makanan,Aldi makan siang di rumah. Aldi makan menggunakan tangan.
Aceh,Makanan,Buk Sari ingin menghaluskan bahan masakannya. Buk Sari menghaluskan bahan masakannya dengan batee seumepeh.
Aceh,Makanan,Santi sedang berlibur ke Aceh. Santi tidak lupa menikmati mie Aceh.
Aceh,Makanan,Yuni dan kawan nya akan berlibur ke laut di hari minggu. Yuni dan kawannya memasak kuah cue.
Aceh,Makanan,Sukma akan mengadakan hajatan. Sukma sedang memasak kuah phep.
Aceh,Makanan,Buk lilis membuat rujak untuk acara arisan dirumahnya. Buk lilis menambahkan buah meria kedalam rujaknya.
Aceh,Makanan,Dedi pulang dari rumah saudaranya di Krung Raya. Dedi membawa pulang buah jamblang.
Aceh,Pernikahan,Adinda akan menikah beberapa hari ke depan. Adinda dilarang keluar rumah.
Aceh,Pernikahan,Cinta akan melangsungkan pernikahan. Cinta mengadakan acara malam boh gaca.
Aceh,Pernikahan,Luna akan melangsungkan acara pernikahan lusa. Hari ini Luna mengadakan acara peumano.
Aceh,Pernikahan,Aldi dan Rina hari ini akan menikah dengan tradisi Aceh. Aldi dan Rina melakukan sengkeman.
Aceh,Pernikahan,Arif dan Wanda akan menikah hari ini. Pihak Arif akan memberikan mahar kepada pihan Wanda.
Aceh,Pernikahan,Alif dan Wirda sedang melaksanakan pernikahan. Alif melafalkan ijab kabul.
Aceh,Pernikahan,Luna baru saja melangsungkan pernikahan. Luna dan keluarga besar melakukan buka idang.
Aceh,Pernikahan,Yanti baru saja melangsungkan pernikahan. Keluarga Yanti melakukan kegiatan buka kado bersama.
Aceh,Pernikahan,Ali memakai pakaian adat Aceh di acara pernikahannya. Ali memakai kupiah meukeutop.
Aceh,Pernikahan,Aldia memakai pakaian adat Aceh di acara pernikahannya. Aldia memakai rencong di pinggangnya.
Aceh,Pernikahan,Siti memakai pakaian adat Aceh di acara pernikahannya. Siti memakai songket.
Aceh,Pernikahan,Nadia memakai pakaian adat Aceh di acara pernikahannya. Nadia memakai patam dikepalanya.
Aceh,Pernikahan,Citra akan menikah dua minggu lagi. Citra pergi ke rumah kerabatnya untuk memberikan undangan.
Aceh,Pernikahan,Dinda menghadiri undangan pernikahan kawannya. Dinda duduk di prasmanan khusus wanita.
Aceh,Pernikahan,Luna akan mengadakan pesta pernikahannya. Rumah Luna dipenuhi dengan dekor dan teratak.
Aceh,Pernikahan,Laila menghadiri pernikahan kawannya. Laila memakan nasi dengan kuah belangong.
Aceh,Pernikahan,Keponakan buk Tuti akan merayakan pesta pernikahan besok. Buk Tuti memberi hadiah cincin emas.
Aceh,Pernikahan,Kawan Icha merayakan pesta pernikahan. Icha memberi hadiah seprai.
Aceh,Hubungan Keluarga,Ali dan Raya baru saja menikah. Ali dan Raya adalah suami istri.
Aceh,Hubungan Keluarga,Ali dan Raya memiliki seorang anak perempuan. Ali dan Raya memanggil anaknya si nyak.
Aceh,Hubungan Keluarga,Ali dan Raya memiliki seorang anak laki-laki. Ali dan Raya memanggil anaknya raja cut.
Aceh,Hubungan Keluarga,Mamak Raya memiliki kakak. Raya memanggil kakak mamaknya mucut.
Aceh,Hubungan Keluarga,Mamak Raya memiliki seorang ibu. Raya memanggil ibu mamaknya nek.
Aceh,Hubungan Keluarga,Buk Chika kehilangan blender nya. Buk Chika meminjam blender tetangganya.
Aceh,Hubungan Keluarga,Buk Sinta baru pindah ke rumah barunya. Buk Sinta bersilaturrahmi dengan tetangga sekeliling.
Aceh,Hubungan Keluarga,Buk Ririn sedang terkena musibah. Tetangga buk Ririn ikut membantunya.
Aceh,Hubungan Keluarga,Buk Chika mengadakan acara hajatan. Tetangga buk Chika pergi untuk memasak.
Aceh,Hubungan Keluarga,Teuku Aldi merupakan keturunan teuku. Anak Aldi bernama cut.
Aceh,Hubungan Keluarga,Said Ali merupakan keturunan said. Anak Ali bernama syarifah.
Aceh,"Kehamilan, Bayi, Anak",Ali mendapat kabar istrinya hamil. Ali membuat acar pesijuk.
Aceh,"Kehamilan, Bayi, Anak",Siti sedang hamil. Siti dilarang berbicara yang tidak baik.
Aceh,"Kehamilan, Bayi, Anak",Siti sedang hamil. Siti dilarang memakan buah nanas.
Aceh,"Kehamilan, Bayi, Anak",Siti sedang hamil 8 bulan. Siti dianjurkan meminum air kelapa.
Aceh,"Kehamilan, Bayi, Anak",Buk Hawa baru siap melahirkan. Buk Hawa tidak boleh keluar rumah selama 44 hari.
Aceh,"Kehamilan, Bayi, Anak",Buk Laila baru siap melahirkan. Buk Lalila harus meletakkan batu di perutnya.
Aceh,"Kehamilan, Bayi, Anak",Siti baru saja melahirkan. Ibu Siti memberikan gula untuk bayi Siti.
Aceh,"Kehamilan, Bayi, Anak",Siti baru saja melahirkan. Ibu Siti membadung bayi Siti.
Aceh,"Kehamilan, Bayi, Anak",Anak Siti sudah beranjak balita. Siti memberi makan anaknya pisang.
Aceh,"Kehamilan, Bayi, Anak",Siti memiliki seorang anak balita. Siti tidak mengeluarkan anaknya saat magrib.
Aceh,"Kehamilan, Bayi, Anak",Anak Siti sudah mulai bisa berbicara. Siti mengajarkan anaknya untuk sopan kepada yang lebih tua.
Aceh,"Kehamilan, Bayi, Anak",Anak Siti sudah mulai sekolah. Sepulang sekolah anak Siti langsung pulang ke rumah.
Aceh,"Kehamilan, Bayi, Anak",Anak Siti sudah memasuki masa remaja. Anak Siti harus pergi mengaji di sore atau malam hari.
Aceh,"Kehamilan, Bayi, Anak",Anak Siti sudah beranjak dewasa. Siti sering mengajak anaknya untuk berpendapat tentang sesuatu.
Aceh,"Kehamilan, Bayi, Anak",Anak siti Siti beranjak dewasa. Siti mengajarkan anaknya untuk belajar mengambil keputusan sendiri.
Aceh,Kematian,Kakek Ali telah meninggal. Tengku kampung Ali membuat pengumuman di meunasah.
Aceh,Kematian,Kakek Ali telah meninggal. Kakek Ali akan di pemano.
Aceh,Kematian,Kakek Ali telah meninggal. Kakek Ali akan di peu kaphan.
Aceh,Kematian,Kakek Ali telah dikuburkan. Ali mengadakan pengajian di kuburan selama 7 atau 10 hari.
Aceh,Kematian,Kakek Ali telah dikuburkan. Ali akan mengadakan kanduri samadiah di setiap malam ganjil dirumahnya.
Aceh,Kematian,Badrul pergi melayat ke rumah Ali. Badrul memakai baju yang rapi dan peci.
Aceh,Kematian,Siti pergi melayat ke rumah Ali. Siti memakai baju yang rapi dan jilbab.
Aceh,Kematian,Kakek Ali meinggalkan warisan. Tante Ali mendapatkan 1 bagian dari warisan.
Aceh,Hari Besar Agama,Buk Ani dan keluarga akan merayakan hari raya idul fitri besok. Buk Ani memasak daging sapi di hari meugang.
Aceh,Hari Besar Agama,Buk siti dan keluarga akan menjalankan ibadah puasa untuk satu bulan kedepan. Buk Siti memasak sie reboh di hari meugang.
Aceh,Hari Besar Agama,Putri akan merayakan lebaran seminggu lagi. Putri membuat kue lebaran.
Aceh,Hari Besar Agama,Beberapa hari lagi buk Citra akan memasuki bulan ramadhan. But Citra memasak bupedah.
Aceh,Hari Besar Agama,Besok adalah hari pertama ramadhan. Ahmad pergi ke mesjid untuk tadarus.
Aceh,Hari Besar Agama,Buk Sisi melakukan buka puasa bersama besok. Buk Sisi membuat ie pedadah.
Aceh,Hari Besar Agama,Kampung Blang Ara hari ini merayakan maulid nabi. Masyarakat Blang Ara membuat idang.
Aceh,Hari Besar Agama,Buk Salmi hari ini merayakan hari asyura. Buk salmi membuat bubur asyura.
Aceh,Hari Besar Agama,Keluarga buk Intan akan merayakan hari raya besok. Keluarga buk Intan akan bersilaturrahmi ke rumah saudaranya.
Aceh,Hari Besar Agama,Masyarakat gampong blang baru saja selesai acara maulid. Malam ini adakan ada ceramah maulid.
Aceh,Pertanian,Minggu ini adalah waktu memanen padi untuk kampung cot. Kampung cot memanen padi setahun dua kali.
Aceh,Pertanian,Keluarga buk Tuti memiliki kebun kopi. Setiap minggu buk Tuti memanen kopi di gunung.
Aceh,Pertanian,Pak Bakti ingin menanam padi. Pak Bakti harus membajak sawahnya.
Aceh,Pertanian,Pak Khairi sedang menanam padi. Pak Khairi melaksanakan kanduri blang.
Aceh,Pertanian,Keluarga pak Ahmad baru saja memanen padi. Keluarga pak Ahmad melaksanakan kanduri blang.
Aceh,Pertanian,Keluarga buk Azmi akan melakukan kanduri blang. Kanduri blang dilakukan saat/setelah panen.
Aceh,Ikan dan Ternak,Pak Din memelihara sapi. Pak Din mencari makanan untuk sapinya setiap sore.
Aceh,Ikan dan Ternak,Buk Afni memiliki banyak ayam ternak. Buk Afni memberi makan ayamnya dua kali sehari.
Aceh,Ikan dan Ternak,Pak Is memiliki banyak kambing ternak. Pak Is selalu mengembala kambingnya ke gunung.
Aceh,Ikan dan Ternak,Pak Saleh memelihara kerbau. Pak Saleh melepaskan kerbaunya di sawah yang sudah di panen.
Aceh,Ikan dan Ternak,Besok adalah hari meugang. Pak Badrul menjual sapi-sapi ternaknya.
Aceh,Seni,Banda merupakan pemusik di grup tari likok pulo. Banda memainkan rapai.
Aceh,Seni,Candra merupakan pemusik di grup tari ranup. Candra memainkan serune kalee.
Aceh,Seni,Rasyat merupakan pemain tari rapai geleng. Rasyat memainkan rapai.
Aceh,Seni,Mi'raj merupakan syahee grup tari ratoh. Mi'raj menyanyikan lagu saleum.
Aceh,Seni,Darmi mengikuti lomba menyayikan lagu tradisional Aceh. Darmi membawakan lagu aceh lon sayang.
Aceh,Seni,Buk Bunga mengajarkan lagu traditional Aceh kepada muridnya. Siswa-siswi buk bunga menyanyikan lagu bungong jeumpa.
Aceh,Seni,Tasya dan kawannya mengikuti lomba tari tradisional Aceh. Tasya dan kawannya mempersembahkan tari saman.
Aceh,Seni,Sanggar seulawet mewakili Aceh untuk pameran seni nasional. Sanggar seni seulawet mempersembahkan tari seudati.
Aceh,Seni,Sanggar seulawet mewakili Aceh untuk pameran seni internasional. Sanggar seni seulawet mempersembahkan tari tarek pukat.
Aceh,Seni,Pemerintah kota Banda Aceh kedatangan tamu presiden RI. Penyambutan dimulai dengan tari ranup.
Aceh,Seni,Desi mengadakan acara pesta pernikahannya hari ini. Tari ranup disuguhkan untuk menyambut linto baro.
Aceh,Seni,Universitas USK mengadakan konferensi internasional. Tari tarek pukat dipersembahkan untuk menyambut tamu.
Aceh,Seni,"Wirda baru saja menyelenggarakan pesta pernikahannya. Malam ini, tari rapai geleng dipersembahkan untuk menghibur masyarakat."
Aceh,Seni,Besok adalah hari pembukaan PKA. Tari saman masal dipersembahkan di lapangan PKA.
Aceh,Seni,Hari ini Tika mengadakan pesta tueng dara baro. Pihak linto dan dara baro saling membalas pantun.
Aceh,Seni,Hari ini Tengku Fata menjadi penceramah maulid di kampung cot. Tengku Fata membuka ceramahnya dengan pantun.
Aceh,Permainan,Muksal mengajak kawan-kawan nya ke sawah. Muksal dan kawan-kawannya menonton geulayang tunang.
Aceh,Permainan,Nasywa pergi bermain ke rumah teman nya. Nasywa dan temannya bermain engklek.
Aceh,Permainan,Abdul dan kawan-kawannya akan bermain galah. Abdul dan kawan-kawannya pergi ke lapangan.
Aceh,Permainan,Badrul akan mengikuti perlombaan pacu kude. Badrul mengikuti perlombaan di lahan yang luas.
Aceh,Sehari-hari,Rini mengajak Ika bermain ke rumahnya sepulang sekolah. Rini dan Ika bermain cato.
Aceh,Sehari-hari,Di waktu senggang nya pak Doni duduk di kede kupi. Pak doni menikmati kopi.
Aceh,Sehari-hari,Pak Salam kewarung kopi di pagi minggu. Pak salam membaca koran.
Aceh,Sehari-hari,Rumah Tasya adalah rumah tradisional peninggalan neneknya. Rumah Tasya berbentuk rumah panggung.
Aceh,Sehari-hari,Rumah Sari adalah rumah panggung. Dapur rumah Sari terletak di bawah.
Aceh,Sehari-hari,"Di waktu senja, Siti pulang ke rumah. Siti bersiap-siap untuk mengaji."
Aceh,Sehari-hari,Di malam hari pak Nazar pergi ke mesjid. Pak Nazar mengikuti pengajian.
Aceh,Sehari-hari,Di pagi minggu pak Nazar pergi ke warong kupi. Pak Nazar meminum segelas kopi.
Aceh,Socio-religious,Setiap hari jumat buk Tuti pergi ke mesjid. Buk Tuti mengikuti pengajian rutin.
Aceh,Socio-religious,Bulan ini adalah bulan maulid. Kampung angan merayakan maulid.
Aceh,Socio-religious,Anak-anak bermain di luar rumah di waktu magrib. Anak-anak akan dibawa oleh gentet.
