province,topic,merged,is_correct
Aceh,Makanan,Syarifah baru saja pulang dari Sabang. Syarifah memberi oleh-oleh kuekarah.,False
Aceh,Makanan,Syarifah baru saja pulang dari Sabang. Syarifah memberi oleh-oleh kue Bhoi.,False
Aceh,Makanan,Raja igin membeli minuman khas Aceh. Raja membeli Kopi Gayo.,True
Aceh,Makanan,Raja igin membeli minuman khas Aceh. Raja membeli Jus terong Belanda.,False
Aceh,Makanan,Raja igin membeli minuman khas Aceh. Raja membeli Kopi Sanger.,False
Aceh,Makanan,Ayah dewi ingin memesan minuman khas Meulaboh. Ayah dewi memesan minuman kopi Kurma.,False
Aceh,Makanan,Ayah dewi ingin memesan minuman khas Meulaboh. Ayah dewi memesan minuman kopi Khop.,True
Aceh,Makanan,Ayah dewi ingin memesan minuman khas Meulaboh. Ayah dewi memesan minuman kopi Sanger.,False
Aceh,Makanan,Saat Maulid warga kampung Leli mengadakan acara makan bersama. Warga kampung Leli makan bersama di pantai.,False
Aceh,Makanan,Saat Maulid warga kampung Leli mengadakan acara makan bersama. Warga kampung Leli makan bersama-sama di mesjid.,True
Aceh,Makanan,Saat Maulid warga kampung Leli mengadakan acara makan bersama. Warga kampung Leli makan secara berkelompok dirumah.,False
Aceh,Makanan,"Putro berasal dari Aceh, Saat makan Putro disediakan mangkuk berisi air. Putro makan menggunkan sendok.",False
Aceh,Makanan,"Putro berasal dari Aceh, Saat makan Putro disediakan mangkuk berisi air. Putro makan mengunkan sumpit.",False
Aceh,Makanan,"Putro berasal dari Aceh, Saat makan Putro disediakan mangkuk berisi air. Putro makan menggunkan tangan yang sudah dicuci bersih.",True
Aceh,Makanan,Nenek mengukur kelapa mengunakan alat kukur. Nenek mengukur kelapa mengunakan mesin parutan.,False
Aceh,Makanan,Nenek mengukur kelapa mengunakan alat kukur. Nenek mengukur kelapa mengunakan geulungku.,True
Aceh,Makanan,Nenek mengukur kelapa mengunakan alat kukur. Nenek mengukur kelapa mengunakan parutan.,False
Aceh,Makanan,"Nila baru sampai ke Aceh, Nila inggin membeli masakan khas yang di olah dari danging sapi. Nila membeli masakan sate sapi.",False
Aceh,Makanan,"Nila baru sampai ke Aceh, Nila inggin membeli masakan khas yang di olah dari danging sapi. Nila membeli masakan Sie Ruboh.",True
Aceh,Makanan,"Nila baru sampai ke Aceh, Nila inggin membeli masakan khas yang di olah dari danging sapi. Nila membeli masakan rendang sapi.",False
Aceh,Makanan,"Fitri pergi ke rumah saudara yang ada di Aceh Tengah, saat jam makan Fitri di sajikan jamuan makanan. Fitri disajiikan jamuan makanan berupa tenaruh dedah.",True
Aceh,Makanan,"Fitri pergi ke rumah saudara yang ada di Aceh Tengah, saat jam makan Fitri di sajikan jamuan makanan. Fitri disajiikan jamuan makanan berupa gulee keumamah.",False
Aceh,Makanan,"Fitri pergi ke rumah saudara yang ada di Aceh Tengah, saat jam makan Fitri di sajikan jamuan makanan. Fitri disajiikan jamuan makanan berupa kuah pliek.",False
Aceh,Makanan,Naura igin membeli masakan daerah yang terbuat dari ikan. Naura membeli masakan gulee keumamah.,True
Aceh,Makanan,Naura igin membeli masakan daerah yang terbuat dari ikan. Naura membeli ikan goreng.,False
Aceh,Makanan,Naura igin membeli masakan daerah yang terbuat dari ikan. Naura membeli masakan ikan pepes.,False
Aceh,Makanan,"Saat pergi ke Aceh, Eka membeli buah Khas Aceh. Eka membeli buah semangka.",False
Aceh,Makanan,"Saat pergi ke Aceh, Eka membeli buah Khas Aceh. Eka membeli buah mangga.",False
Aceh,Makanan,"Saat pergi ke Aceh, Eka membeli buah Khas Aceh. Eka membeli buah Meuria.",True
Aceh,Makanan,Fatiah membuat Rujak Aceh untuk acara dirumahnya. Fatiah memasukan mentimun.,False
Aceh,Makanan,Fatiah membuat Rujak Aceh untuk acara dirumahnya. Fatiah memasukan nanas.,False
Aceh,Makanan,Fatiah membuat Rujak Aceh untuk acara dirumahnya. Fatiah memasukan mangga kwen.,True
Aceh,Pernikahan,"Teuku ingin menikah dengan Icut, karena itu Teuku mepersiapkan acara Jak ba Ranup. Teuke membawa seserahan berupa tebu, dan tunas kelapa.",False
Aceh,Pernikahan,"Teuku ingin menikah dengan Icut, karena itu Teuku mepersiapkan acara Jak ba Ranup. Teuke membawa seserahan berupa baju, dan sepatu.",False
Aceh,Pernikahan,"Teuku ingin menikah dengan Icut, karena itu Teuku mepersiapkan acara Jak ba Ranup. Teuke membawa seserahan berupa sirih, dan kue.",True
Aceh,Pernikahan,Keluarga calon suami Aisyah membawa talam pada malam ja ba tanda. Aisyah di bawakan talam berisi kue-kue.,False
Aceh,Pernikahan,"Keluarga calon suami Aisyah membawa talam pada malam ja ba tanda. Aisyah di bawakan talam berisi siri,dan makan.",False
Aceh,Pernikahan,"Keluarga calon suami Aisyah membawa talam pada malam ja ba tanda. Aisyah di bawakan talam berisi siri, makan kaleng, pakain dan perhiasan.",True
Aceh,Pernikahan,"Dewi bersal dari Nagan Raya, esok hari Dewi akan menikah, keluarga dewi mengadakan acara. Keluarga Dewi mengadakan acara manoe pucok.",True
Aceh,Pernikahan,"Dewi bersal dari Nagan Raya, esok hari Dewi akan menikah, keluarga dewi mengadakan acara. Keluarga Dewi mengadakan acara siraman.",False
Aceh,Pernikahan,"Dewi bersal dari Nagan Raya, esok hari Dewi akan menikah, keluarga dewi mengadakan acara. Keluarga Dewi mengadakan acara tepung tawar.",False
Aceh,Pernikahan,"Pada saat pernikahan Dian, anda anak-anak yang menari untuk menyabut tamu. Tarian itu disebut tarian Seudati.",False
Aceh,Pernikahan,"Pada saat pernikahan Dian, anda anak-anak yang menari untuk menyabut tamu. Tarian itu disebut tarian Ranup Lampuan.",True
Aceh,Pernikahan,"Pada saat pernikahan Dian, anda anak-anak yang menari untuk menyabut tamu. Tarian itu disebut tarian Ratoh Jaro.",False
Aceh,Pernikahan,"Di pesta pernikahan Indah, Indah dan suami di sandingkan diatas pelaminan dan di peusijuek. Indah dan suami di peusijuk dengan 4 bahan.",True
Aceh,Pernikahan,"Di pesta pernikahan Indah, Indah dan suami di sandingkan diatas pelaminan dan di peusijuek. Indah dan suami di peusijuk dengan10 bahan.",False
Aceh,Pernikahan,"Di pesta pernikahan Indah, Indah dan suami di sandingkan diatas pelaminan dan di peusijuek. Indah dan suami di peusijuk dengan 5 bahan.",False
Aceh,Pernikahan,"Nisa barau saja menikah dengan Raja, di hari ke tujuh keluarga Nisa pergi kerumah keluarga Raja. Keluarga Nisa membawa hantaran berupa telur, dan beras.",False
Aceh,Pernikahan,"Nisa barau saja menikah dengan Raja, di hari ke tujuh keluarga Nisa pergi kerumah keluarga Raja. Keluarga Nisa membawa hantaran emas.",False
Aceh,Pernikahan,"Nisa barau saja menikah dengan Raja, di hari ke tujuh keluarga Nisa pergi kerumah keluarga Raja. Keluarga Nisa membawa hantaran berupa makana, dodol, dan wajib.",True
Aceh,Pernikahan,"Beni dan Ani baru menikah, mereka belum memiliki rumah. Mereka tinggal di rumah kontrakan.",False
Aceh,Pernikahan,"Beni dan Ani baru menikah, mereka belum memiliki rumah. Mereka tinggal di rumah keluarga Beni.",False
Aceh,Pernikahan,"Beni dan Ani baru menikah, mereka belum memiliki rumah. Mereka tinggal di rumah keluarga Ani.",True
Aceh,Pernikahan,"Lebaran tahun ini, lebaran pertama Rudi dan Kana sebagi suami istri. Rudi dan Kana berkunjung kerumah saudara dengan membawa kue bolu, atau gula.",True
Aceh,Pernikahan,"Lebaran tahun ini, lebaran pertama Rudi dan Kana sebagi suami istri. Rudi dan Kana berkunjung kerumah saudara dan diberikan hadiah.",False
Aceh,Pernikahan,"Lebaran tahun ini, lebaran pertama Rudi dan Kana sebagi suami istri. Rudi dan Kana berkunjung kerumah saudara dengan tanggan kosong.",False
Aceh,Pernikahan,"Teuku dan Cut merupakan keturuna kerajaan Aceh, pada pesta pernikahan, Teuku hanya bisa memilih 3 warna baju untuk di pakai saat pesta. Teuku memilih mamakai warna unggu.",False
Aceh,Pernikahan,"Teuku dan Cut merupakan keturuna kerajaan Aceh, pada pesta pernikahan, Teuku hanya bisa memilih 3 warna baju untuk di pakai saat pesta. Teuku memilih mamakai wrana pink.",False
Aceh,Pernikahan,"Teuku dan Cut merupakan keturuna kerajaan Aceh, pada pesta pernikahan, Teuku hanya bisa memilih 3 warna baju untuk di pakai saat pesta. Teuku memilih mamakai warna hitam.",True
Aceh,Pernikahan,"Teuku dan Cut merupakan keturuna kerajaan Aceh, pada pesta pernikahan, Cut hanya bisa memilih 3 warna baju untuk di pakai saat pesta. Cut memilih memakai warna merah.",True
Aceh,Pernikahan,"Teuku dan Cut merupakan keturuna kerajaan Aceh, pada pesta pernikahan, Cut hanya bisa memilih 3 warna baju untuk di pakai saat pesta. Cut memilih memakai warna violet.",False
Aceh,Pernikahan,"Teuku dan Cut merupakan keturuna kerajaan Aceh, pada pesta pernikahan, Cut hanya bisa memilih 3 warna baju untuk di pakai saat pesta. Cut memilih memakai warna sage.",False
Aceh,Pernikahan,Riska memakai pakain tradisional adat aceh pada saat pesta pernikahanya. Riska memakai baju gaun.,False
Aceh,Pernikahan,Riska memakai pakain tradisional adat aceh pada saat pesta pernikahanya. Riska memakai mukasah.,False
Aceh,Pernikahan,Riska memakai pakain tradisional adat aceh pada saat pesta pernikahanya. Riska memakai baju kurung dan dengan sarung songket.,True
Aceh,Pernikahan,"Dikampung sebelah ada pesta pernikahan, Mama diundang ke pesta pernikahan. Mama pergi ke pesta pernikahan dengan ibu dari kampung sebelah.",False
Aceh,Pernikahan,"Dikampung sebelah ada pesta pernikahan, Mama diundang ke pesta pernikahan. Mama pergi ke pesta pernikahan dengan ibu-ibu di kampung.",True
Aceh,Pernikahan,"Dikampung sebelah ada pesta pernikahan, Mama diundang ke pesta pernikahan. Mama pergi ke pesta pernikahan sendirian.",False
Aceh,Pernikahan,Nonik ingin mengadakan pesta pernikahan adiknya di kampung. Nonik harus mengundang teman-temannya saja.,False
Aceh,Pernikahan,"Nonik ingin mengadakan pesta pernikahan adiknya di kampung. Nonik harus mengundang kelurga besar, dan warga kampung.",True
Aceh,Pernikahan,Nonik ingin mengadakan pesta pernikahan adiknya di kampung. Nonik harus mengundang kelurga besar.,False
Aceh,Pernikahan,Aisyah ingin mengadakan pesta pernikahan dengan suasana tradisional. Aisayh mengadaka pesta pernikahan di pantai.,False
Aceh,Pernikahan,Aisyah ingin mengadakan pesta pernikahan dengan suasana tradisional. Aisayh mengadaka pesta pernikahan di rumah.,True
Aceh,Pernikahan,Aisyah ingin mengadakan pesta pernikahan dengan suasana tradisional. Aisayh mengadaka pesta pernikahan di gedung.,False
Aceh,Pernikahan,"Dalam acar pernikahan Raja, hidangan yang disajikan bermacam-macam. Hidangan yang disajikan berupa rendang, masak merah, kuah Beulango.",True
Aceh,Pernikahan,"Dalam acar pernikahan Raja, hidangan yang disajikan bermacam-macam. Hidangan yang disajikan berupa nasi goreng.",False
Aceh,Pernikahan,"Dalam acar pernikahan Raja, hidangan yang disajikan bermacam-macam. Hidangan yang disajikan berupa kuah pliek saja.",False
Aceh,Pernikahan,Miranda pulang ke kampung untuk menghadiri pernikahan adik iparnya. Miranda memberi hadiah sepeda.,False
Aceh,Pernikahan,Miranda pulang ke kampung untuk menghadiri pernikahan adik iparnya. Miranda memberi hadiah cangkir.,False
Aceh,Pernikahan,Miranda pulang ke kampung untuk menghadiri pernikahan adik iparnya. Miranda memberi hadiah 1 mayam emas.,True
Aceh,Pernikahan,Mama Nadia ingin mengadiri pesta pernikahan. Mama Nadia memberikan hadiah buket bunga.,False
Aceh,Pernikahan,Mama Nadia ingin mengadiri pesta pernikahan. Mama Nadia memberikan hadiah berupa tas.,False
Aceh,Pernikahan,Mama Nadia ingin mengadiri pesta pernikahan. Mama Nadia memberikan hadiah berupa sprei.,True
Aceh,Hubungan Keluarga,Fatimah baru saja menikah. Fatimah dan suami tinggal dirumah orang tua fatimah.,True
Aceh,Hubungan Keluarga,Fatimah baru saja menikah. Fatimah dan suami tinggal dirumah kakak ipar.,False
Aceh,Hubungan Keluarga,Fatimah baru saja menikah. Fatimah dan suami tinggal di rumah paman.,False
Aceh,Hubungan Keluarga,Sekarang Rasya hanya memiliki satu orang nenek. Rasya tinggal bersama orang tua dan nenek.,True
Aceh,Hubungan Keluarga,Sekarang Rasya hanya memiliki satu orang nenek. Rasya tinggal bersama nenek.,False
Aceh,Hubungan Keluarga,Sekarang Rasya hanya memiliki satu orang nenek. Rasya tinggal bersama paman dan nenek.,False
Aceh,Hubungan Keluarga,Mama membeli cincin untuk hadiah pernikahan. Mama memberikan kepada orang yang tak dikenal.,False
Aceh,Hubungan Keluarga,Mama membeli cincin untuk hadiah pernikahan. Mama memberikan kepada temannya.,False
Aceh,Hubungan Keluarga,Mama membeli cincin untuk hadiah pernikahan. Mama memberikannya kepada keponakannya.,True
Aceh,Hubungan Keluarga,Sepupu Ayah baru saja terkena musibah. Ayah membantu sepupunya.,True
Aceh,Hubungan Keluarga,Sepupu Ayah baru saja terkena musibah. Ayah tidak membantu sepupunya.,False
Aceh,Hubungan Keluarga,Sepupu Ayah baru saja terkena musibah. Ayah menghina sepupunya.,False
Aceh,Hubungan Keluarga,Ali membuat acara keunduri. Ali mendapat bantuan tenaga dari tetangganya.,True
Aceh,Hubungan Keluarga,Ali membuat acara keunduri. Ali mendapat bantuan dari anak-anaknya.,False
Aceh,Hubungan Keluarga,Ali membuat acara keunduri. Ali tidak mendapatkan bantuan dari tetangganya.,False
Aceh,Hubungan Keluarga,Rumah tetangga Syifa kebakaran. Syifa hanya melihat saja tetanggnya.,False
Aceh,Hubungan Keluarga,Rumah tetangga Syifa kebakaran. Syifa ikut menolong untuk memadamkan api bersama warga kampung.,True
Aceh,Hubungan Keluarga,Rumah tetangga Syifa kebakaran. Syifa tidak menolong tetangganya.,False
Aceh,Hubungan Keluarga,Alex berasal dari Brazil dan ingin snorkling ke Sabang. Alex tidak diterima dengan tidak baik di Sabang.,False
Aceh,Hubungan Keluarga,Alex berasal dari Brazil dan ingin snorkling ke Sabang. Alex diusir dari sabang.,False
Aceh,Hubungan Keluarga,Alex berasal dari Brazil dan ingin snorkling ke Sabang. Alex diterima dengan ramah di sabang.,True
Aceh,Hubungan Keluarga,Nur pendatang di kampung Lam Ara. Nur di kucilkan oleh asoek lhok.,False
Aceh,Hubungan Keluarga,Nur pendatang di kampung Lam Ara. Nur diterima dengan baik oleh asoe lhok di kampung Lam Ara.,True
Aceh,Hubungan Keluarga,Nur pendatang di kampung Lam Ara. Nur tidak mendapatkan hak sebagai orang Lam Ara.,False
Aceh,Hubungan Keluarga,Cia ingin beribadah ke gereja. Cia dibebaskan untuk beribadah selama tidak melangar qanun yang ada.,True
Aceh,Hubungan Keluarga,Cia ingin beribadah ke gereja. Cia dilarang untuk beribadah.,False
Aceh,Hubungan Keluarga,Cia ingin beribadah ke gereja. Cia tidak diberikan kebebasan saat beribadah.,False
Aceh,Hubungan Keluarga,Ayah Raja orang Aceh Sedangkan Ibu Raja orang Betawi. Raja merupakan keturunan Aceh.,True
Aceh,Hubungan Keluarga,Ayah Raja orang Aceh Sedangkan Ibu Raja orang Betawi. Raja merupakan keturunan Betawi.,False
Aceh,Hubungan Keluarga,Ayah Raja orang Aceh Sedangkan Ibu Raja orang Betawi. Raja merupakan Keturunan Belanda.,False
Aceh,"Kehamilan, Bayi, Anak",Ratu sedang hamil dan mengadakan acara mee boh kayee. Ratu mengadakan acara pada bulan 8 kehamilan.,False
Aceh,"Kehamilan, Bayi, Anak",Ratu sedang hamil dan mengadakan acara mee boh kayee. Ratu mengadakan acara pada bulan 2 kehamilan.,False
Aceh,"Kehamilan, Bayi, Anak",Ratu sedang hamil dan mengadakan acara mee boh kayee. Ratu mengadakan acara pada bulan 3 kehamilan.,True
Aceh,"Kehamilan, Bayi, Anak",Sania ingin membuat acara ba bu tujoeh buleun. Sania meminta keluarga suami untuk makan bersama di restoran.,False
Aceh,"Kehamilan, Bayi, Anak",Sania ingin membuat acara ba bu tujoeh buleun. Sania meminta keluarga suami untuk membawa makanan ke laut dan makan bersama.,False
Aceh,"Kehamilan, Bayi, Anak",Sania ingin membuat acara ba bu tujoeh buleun. Sania meminta keluarga suami untuk membawa makanan ke rumah keluarga sani dan makan bersama.,True
Aceh,"Kehamilan, Bayi, Anak",Kkeluarga suami Nisa membuat acara keumaweh. Keluarga suami Nisa membawa nasi dan lauk pauk.,True
Aceh,"Kehamilan, Bayi, Anak",Kkeluarga suami Nisa membuat acara keumaweh. Keluarga suami Nisa membawa ayam hidup.,False
Aceh,"Kehamilan, Bayi, Anak",Kkeluarga suami Nisa membuat acara keumaweh. Keluarga suami Nisa membawa nasi saja tampa lauk pauk.,False
Aceh,"Kehamilan, Bayi, Anak",Ibu Dewi baru melahirkan. Ibu Dewi pergi keluar rumah.,False
Aceh,"Kehamilan, Bayi, Anak",Ibu Dewi baru melahirkan. Ibu Dewi harus di rumah samapai 44 hari.,True
Aceh,"Kehamilan, Bayi, Anak",Ibu Dewi baru melahirkan. Ibu Dewi boleh pergi ke luar kota.,False
Aceh,"Kehamilan, Bayi, Anak",Anak ibu Dewi baru 44 hari. Anak ibu Dewi dipeucicap makanan.,True
Aceh,"Kehamilan, Bayi, Anak",Anak ibu Dewi baru 44 hari. Anak ibu Dewi diwarnai rambutnya.,False
Aceh,"Kehamilan, Bayi, Anak",Anak ibu Dewi baru 44 hari. Anak ibu Dewi ditinggal di rumah neneknya.,False
Aceh,"Kehamilan, Bayi, Anak",Anak Anisa baru saja lahir. Anak Anisa langsung diberikan nasi.,False
Aceh,"Kehamilan, Bayi, Anak",Anak Anisa baru saja lahir. Anak Anisa langsung diberikan madu.,False
Aceh,"Kehamilan, Bayi, Anak",Anak Anisa baru saja lahir. Anak Anisa langsung diberikan pisang wak.,True
Aceh,"Kehamilan, Bayi, Anak",Anak Lisa diajarkan cara berjalan. Anak Lisa dipeutateh.,True
Aceh,"Kehamilan, Bayi, Anak",Anak Lisa diajarkan cara berjalan. Anak Lisa dipajoh bu.,False
Aceh,"Kehamilan, Bayi, Anak",Anak Lisa diajarkan cara berjalan. Anak Lisa ditimang.,False
Aceh,"Kehamilan, Bayi, Anak",Raja ingin membawa anaknya belajar mengaji. Raja membawa anaknya sekolah.,False
Aceh,"Kehamilan, Bayi, Anak",Raja ingin membawa anaknya belajar mengaji. Raja membawa anaknya ke bimbel.,False
Aceh,"Kehamilan, Bayi, Anak",Raja ingin membawa anaknya belajar mengaji. Raja membawa anaknya ke bale pengajian atau mesjid.,True
Aceh,"Kehamilan, Bayi, Anak",Anak Andi yang duduk di bangku SMP meminta izin untuk keluar rumah. Andi memberikan izin sesudah magrib sudah di rumah.,False
Aceh,"Kehamilan, Bayi, Anak",Anak Andi yang duduk di bangku SMP meminta izin untuk keluar rumah. Andi memberikan izin jam 10 malam sudah di rumah.,False
Aceh,"Kehamilan, Bayi, Anak",Anak Andi yang duduk di bangku SMP meminta izin untuk keluar rumah. Andi memberikan izin sebelum magrib harus sudah di rumah.,True
Aceh,"Kehamilan, Bayi, Anak",Asila diterima berkerja di Jakarta. Asila meminta izin kepada orang tua.,True
Aceh,"Kehamilan, Bayi, Anak",Asila diterima berkerja di Jakarta. Asila dimarahi oleh orang tuanya.,False
Aceh,"Kehamilan, Bayi, Anak",Asila diterima berkerja di Jakarta. Asila meminta uang oarang tua.,False
Aceh,Kematian,Pak Ihsan merupakan imum meunasah. Pak Ihsan mememberikan pengumuman berita duka di meunasah atau mesjid.,True
Aceh,Kematian,Pak Ihsan merupakan imum meunasah. Pak Ihsan mememberikan pengumuman berita duka di kantor geucik.,False
Aceh,Kematian,Pak Ihsan merupakan imum meunasah. Pak Ihsan mememberikan pengumuman berita duka di pasar.,False
Aceh,Kematian,Sebelum mayat dimandikan mayat akan dibaringkan. Mayat dibaringkan di atas papan dan diselimuti.,False
Aceh,Kematian,Sebelum mayat dimandikan mayat akan dibaringkan. Mayat akan dibaringkan di lantai dan diselimuti.,False
Aceh,Kematian,Sebelum mayat dimandikan mayat akan dibaringkan. Mayat akan dibaringkan di atas kasur dan diselimuti kain panjang.,True
Aceh,Kematian,"Kakek Zainab sudah meninggal selama 44 hari. Di rumah Zainab dilakukan kanuri arwah, samadiah dan tahlil.",True
Aceh,Kematian,Kakek Zainab sudah meninggal selama 44 hari. Di rumah Zainab dilakukan makan bersama.,False
Aceh,Kematian,Kakek Zainab sudah meninggal selama 44 hari. Di rumah Zainab dilakukan upacara Saur matua.,False
Aceh,Kematian,Dewi ingin pergi melayat orang meninggal. Dewi memakai pakaian berwarna kuning.,False
Aceh,Kematian,Dewi ingin pergi melayat orang meninggal. Dewi memakai pakaian yang tidak mencolok warnanya.,True
Aceh,Kematian,Dewi ingin pergi melayat orang meninggal. Dewi memakai pakaian berwarna merah.,False
Aceh,Kematian,"Dodi memilih pakaian untuk melayat ke rumah temannya yang baru saja meninggal. Dodi memakai baju koko , peci dan sarung.",True
Aceh,Kematian,Dodi memilih pakaian untuk melayat ke rumah temannya yang baru saja meninggal. Dodi memakai baju kaos dan celana jeans.,False
Aceh,Kematian,Dodi memilih pakaian untuk melayat ke rumah temannya yang baru saja meninggal. Dodi memakai baju jubah.,False
Aceh,Kematian,"Mutasir seharusnya mendapatkan sepetak tanah, namun kakak Mutasir tidak meberikan hak tersebut. Muthasir memilih mediasi oleh tetangga.",False
Aceh,Kematian,"Mutasir seharusnya mendapatkan sepetak tanah, namun kakak Mutasir tidak meberikan hak tersebut. Muthasir memilih mediasi oleh keuchik dan tuha peut gampong.",True
Aceh,Kematian,"Mutasir seharusnya mendapatkan sepetak tanah, namun kakak Mutasir tidak meberikan hak tersebut. Muthasir memilih mediasi di kantor polisi.",False
Aceh,Hari Besar Agama,Raja membawa pulang daging sehari sebelum puasa. Raja membawa daging meugang.,True
Aceh,Hari Besar Agama,Raja membawa pulang daging sehari sebelum puasa. Raja membawa daging ke pasar.,False
Aceh,Hari Besar Agama,Raja membawa pulang daging sehari sebelum puasa. Raja membawa daging ke rumah.,False
Aceh,Hari Besar Agama,Nenek ingin memakan bubur khas Aceh untuk buka puasa. Nenek membeli bubur kacang merah.,False
Aceh,Hari Besar Agama,Nenek ingin memakan bubur khas Aceh untuk buka puasa. Nenek membeli bubuk ayam.,False
Aceh,Hari Besar Agama,Nenek ingin memakan bubur khas Aceh untuk buka puasa. Nenek membeli bubur ie bu peudah.,True
Aceh,Hari Besar Agama,Risa membeli daging di pasar. Risa membeli daging di pasar karena besok ada pesta pernikahan.,False
Aceh,Hari Besar Agama,Risa membeli daging di pasar. Risa membeli daging di pasar karena besok libur semester.,False
Aceh,Hari Besar Agama,Risa membeli daging di pasar. Risa membeli daging di pasar karena besok lebaran.,True
Aceh,Hari Besar Agama,Zaki memasak bubur bersama orang kampung di mesjid. Zaki akan memasak bubur asyura untuk perayaan muharam.,True
Aceh,Hari Besar Agama,Zaki memasak bubur bersama orang kampung di mesjid. Zaki akan memasak bubur kacang hijau.,False
Aceh,Hari Besar Agama,Zaki memasak bubur bersama orang kampung di mesjid. Zaki akan memasak bubur maulid.,False
Aceh,Hari Besar Agama,Nailis akan memakai pakaian haji. Nailis akan mengikuti pawai 17 agustus.,False
Aceh,Hari Besar Agama,Nailis akan memakai pakaian haji. Nailis akan mengikuti pawai 1 Muharram.,True
Aceh,Hari Besar Agama,Nailis akan memakai pakaian haji. Nailis akan mengikuti pawai haji.,False
Aceh,Hari Besar Agama,Keluarga Cut baru saja pulang shalat ied. Keluarga Cut langsung pergi ke rumah.,False
Aceh,Hari Besar Agama,Keluarga Cut baru saja pulang shalat ied. Keluraga Cut langsung pergi ke laut.,False
Aceh,Hari Besar Agama,Keluarga Cut baru saja pulang shalat ied. Keluarag Cut langsung pergi ziarah kubur.,True
Aceh,Hari Besar Agama,Rafif akan menghias mobil dengan tema hari Raya. Rafif ingin mengikuti pawai muharram.,False
Aceh,Hari Besar Agama,Rafif akan menghias mobil dengan tema hari Raya. Rafif ingin mengikuti pawai takbiran.,True
Aceh,Hari Besar Agama,Rafif akan menghias mobil dengan tema hari Raya. Rafif ingin mengikuti pawai di kampungnya.,False
Aceh,Hari Besar Agama,Mhayar diundang kerumah saudara saat lebaran. Mahyar dihidangkan lontong dan rendang.,True
Aceh,Hari Besar Agama,Mhayar diundang kerumah saudara saat lebaran. Mahyar dihidangkan nasi lemak dan ayam goreng.,False
